YYYYMM_BASE,SITE_CD,LOC_NM,LATITUDE,LONGITUDE,AREA_CD,LOAD_DTM,CENT_CD,관광_버스
202206,A23,해동용궁사,35.188583,129.22346,2131011110019,ZZZZZZ,BBP23,26
202206,A24,해운대,35.158474,129.15987,2109073010004,ZZZZZZ,BBP23,92
202206,A24,해운대해수욕장,35.1591069824,129.1602837868,2109053060001,ZZZZZZ,BBP23,94
202206,A25,황령산 전망쉼터,35.158115,129.08269,2105083020016,ZZZZZZ,BBP23,30
202206,A26,흰여울문화마을,35.07885,129.04402,2104055010010,ZZZZZZ,BBP23,128
202206,A27,임랑해수욕장,35.31905,129.26451,2131012040003,ZZZZZZ,BBP23,40
202206,A28,일광해수욕장,35.260025,129.2336,2131031020004,ZZZZZZ,BBP23,102
202311,A01,"BIFF광장·용두산공원, 보수동책방골목",35.1,129.03,2101057010002,ZZZZZZ,BBP23,216
202311,A02,감천문화마을,35.094,129,2110066010008,ZZZZZZ,BBP23,148
202311,A03,광안리 해수욕장,35.151,129.11,2114057010012,ZZZZZZ,BBP23,104
202311,A04,국립해양박물관,35.078,129.07,2104065010017,ZZZZZZ,BBP23,242
202311,A05,"다대포 해수욕장(꿈의 낙조분수, 몰운대)",35.041,128.97,2110062010010,ZZZZZZ,BBP23,14
202311,A06,달맞이고개,35.159,129.18,2109054010012,ZZZZZZ,BBP23,134
202311,A07,동백섬&누리마루APEC하우스,35.153,129.15,2109073010002,ZZZZZZ,BBP23,16
202311,A08,렛츠런파크,35.155,128.87,2112056110001,ZZZZZZ,BBP23,71
202311,A09,마린시티 카페거리,35.154,129.14,2109075010007,ZZZZZZ,BBP23,30
202311,A10,민락수변공원,35.155,129.13,2114060010010,ZZZZZZ,BBP23,80
202311,A11,범어사,35.284,129.06,2111067020008,ZZZZZZ,BBP23,0
202311,A12,부산서면,35.155,129.05,2105052020005,ZZZZZZ,BBP23,137
202311,A13,부산시민공원,35.168,129.05,2105054010016,ZZZZZZ,BBP23,180
202311,A14,센텀시티(신세계센텀 등),35.171,129.13,2109074080102,ZZZZZZ,BBP23,133
202311,A15,송도 해수욕장,35.074,129.01,2102068020013,ZZZZZZ,BBP23,90
202311,A16,송정 해수욕장,35.177,129.2,,ZZZZZZ,BBP23,44
202311,A17,아미산전망대,35.052,128.96,2110062010010,ZZZZZZ,BBP23,122
202311,A18,오륙도&이기대 갈맷길,35.114,129.12,2107059010004,ZZZZZZ,BBP23,60
202311,A19,을숙도,35.102,128.94,2110056020001,ZZZZZZ,BBP23,16
202311,A20,자갈치·국제시장·부평깡통야시장,35.096,129.03,2101058020001,ZZZZZZ,BBP23,190
202311,A21,전포카페거리,35.155,129.06,2105083010001,ZZZZZZ,BBP23,258
202311,A22,태종대,35.057,129.08,2104066010002,ZZZZZZ,BBP23,8
202311,A23,해동 용궁사,35.188,129.22,2131011110001,ZZZZZZ,BBP23,40
202311,A24,해운대 해수욕장,35.155,129.16,,ZZZZZZ,BBP23,46
202311,A25,황령산 봉수대,35.158,129.08,2113056010010,ZZZZZZ,BBP23,74
202311,A26,흰여울문화마을,35.078,129.04,2104055010005,ZZZZZZ,BBP23,100
202311,A27,임랑 해수욕장,35.317,129.26,2131012040004,ZZZZZZ,BBP23,36
202311,A28,일광 해수욕장,35.26,129.23,2131031020003,ZZZZZZ,BBP23,112
