,이름,X,Y,대분류,탄소배출량
112,장인닭갈비,129.0307995,35.0987373,닭고기류,0.3
113,스타벅스,129.0351369,35.0982767,커피,0.18
114,창녕상회,129.030608,35.0965936,생선류,5.933
115,들뜸,129.0347906,35.0995146,주류,0.32
116,스타벅스,129.0313428,35.1000758,커피,0.18
117,커브쉐어,129.0340071,35.0982683,밥류,0.414
118,스타벅스,129.0287295,35.0989713,커피,0.18
119,삼익식당,129.0309091,35.0987364,돼지고기류,1.6
120,김송오 돈까스,129.0295634,35.0990002,돼지고기류,1.6
121,스타벅스,129.0296978,35.0983501,커피,0.18
122,남포동 포차거리 16번 포장마차,129.0266439,35.097087,주류,0.32
123,털복숭이고양이,129.0312581,35.0985802,밥류,0.414
124,짚신매운갈비찜,129.029978,35.0988255,밥류,0.414
125,쿠우쿠우 ,129.0315862,35.0985053,생선류,5.933
126,동두천부대찌개,129.028894,35.0989699,국/탕/찌개류,2.736
127,1969부원동칼국수,129.0331473,35.0979241,면류,1.3
128,빛날빈,129.032343,35.0993732,밥류,0.414
129,국대찜닭,129.030013,35.0989964,닭고기류,0.3
130,남마담,129.0320474,35.0994208,생선류,5.933
131,진주식당,129.027004,35.0969397,생선류,5.933
132,남해금수횟집,129.0264665,35.0960609,생선류,5.933
133,공차,129.0335149,35.0983717,커피,0.18
134,끈적국수,129.0312507,35.1014738,면류,1.3
135,황남쫀드기,129.0315277,35.0990827,커피,0.18
136,누에보,129.0348505,35.0990454,주류,0.32
137,영도다리횟집,129.0330625,35.0972849,생선류,5.933
138,용두다방,129.0321573,35.1011776,커피,0.18
139,이찌,129.0330968,35.0982671,소고기류,7.833
140,백소정,129.0314149,35.0997056,돼지고기류,1.6
141,메가MGC커피,129.0352834,35.098582,커피,0.18
142,고망고,129.0321192,35.0981492,커피,0.18
143,남포물회,129.0282189,35.0967401,생선류,5.933
144,승승축산,129.0324828,35.0982813,돼지고기류,1.6
145,밀양횟집,129.0296426,35.0974492,생선류,5.933
146,청아상회,129.0290755,35.096832,생선류,5.933
147,루아앤티그리,129.0348336,35.0968371,패스트푸드류,2.6
148,콩불,129.0295634,35.0990002,소고기류,7.833
149,미소쿠치나,129.0356255,35.1065564,면류,1.3
150,에이엠공팔,129.0369835,35.1098529,패스트푸드류,2.6
151,콩지니빵,129.037582,35.1111999,밥류,0.414
152,현대칼국수,129.0375206,35.111552,면류,1.3
153,제주은희네해장국,129.0376391,35.1113797,국/탕/찌개류,2.736
154,커피볶는시골커피,129.0368,35.1092235,커피,0.18
155,옥선집,129.0371738,35.1101488,밥류,0.414
156,하삼동커피,129.0372863,35.1103731,커피,0.18
157,뚜레쥬르,129.0373325,35.110553,밥류,0.414
158,밥찬들,129.0354114,35.1069729,밥류,0.414
159,충남뚝배기,129.0373818,35.1109853,생선류,5.933
160,미정식당,129.0373361,35.1108414,밥류,0.414
161,뚝배기식당,129.0354114,35.1069729,돼지고기류,1.6
162,한성숯불갈비,129.0354114,35.1069729,돼지고기류,1.6
163,부식가게,129.0374508,35.1112371,밥류,0.414
164,카레식당 무사코,129.037234,35.1105719,밥류,0.414
