업체명,경도,위도,숙박유형,숙박점수
브룩스호텔,129.2135032,35.25067491,호텔/리조트,28.03
부띠끄호텔 오월로,129.2136787,35.25010921,호텔/리조트,28.03
이데아호텔,129.2143276,35.25362273,호텔/리조트,28.03
2PM호텔,129.2137006,35.25074703,호텔/리조트,28.03
큐모텔,129.2141236,35.25059418,펜션/민박/유스호스텔,8.51
HOTEL페오,129.2139845,35.25316662,호텔/리조트,28.03
짱모텔,129.2137112,35.25112852,펜션/민박/유스호스텔,8.51
넘버25호텔,129.2142802,35.25229656,호텔/리조트,28.03
힐모텔,129.2145426,35.25295621,펜션/민박/유스호스텔,8.51
이지고글램핑,129.2020381,35.27931701,캠핑/카라반/글램핑,7.98
지오클럽캠핑장,129.2357055,35.25771827,캠핑/카라반/글램핑,7.98
민캠프힐링오토캠핑장,129.2344849,35.28975511,캠핑/카라반/글램핑,7.98
일출민박,129.2332452,35.25957291,펜션/민박/유스호스텔,8.51
속시원한대구탕,129.2332445,35.26057537,펜션/민박/유스호스텔,8.51
채움펜션,129.2584342,35.30331368,펜션/민박/유스호스텔,8.51
메모리펜션,129.2592046,35.28278644,펜션/민박/유스호스텔,8.51
비치하임펜션,129.2589104,35.30734392,펜션/민박/유스호스텔,8.51
몽블랑모텔,129.2336108,35.26447598,펜션/민박/유스호스텔,8.51
캐슬모텔,129.2337386,35.26491276,펜션/민박/유스호스텔,8.51
쉼표모텔,129.2346141,35.26474117,펜션/민박/유스호스텔,8.51
해나무민박,129.2332637,35.2626697,펜션/민박/유스호스텔,8.51
늘봄모텔,129.233977,35.26582452,펜션/민박/유스호스텔,8.51
삼성장펜션,129.2335718,35.26328944,펜션/민박/유스호스텔,8.51
제이스펜션&글램핑,129.2343007,35.27724586,펜션/민박/유스호스텔,8.51
일광하우스,129.2385515,35.26493239,펜션/민박/유스호스텔,8.51
일광펜션,129.2612869,35.31267275,펜션/민박/유스호스텔,8.51
까페카라반,129.2592798,35.30914968,캠핑/카라반/글램핑,7.98
모아펜션,129.2612205,35.31252254,펜션/민박/유스호스텔,8.51
리버사이드펜션,129.2596678,35.29293062,펜션/민박/유스호스텔,8.51
일광메모리펜션,129.2590806,35.28283169,펜션/민박/유스호스텔,8.51
드메르펜션,129.2598971,35.2923648,펜션/민박/유스호스텔,8.51
별장민박,129.2612304,35.3122733,펜션/민박/유스호스텔,8.51
알로하펜션,129.2601787,35.29389668,펜션/민박/유스호스텔,8.51
발리모텔,129.2315489,35.26206704,펜션/민박/유스호스텔,8.51
아셀펜션,129.2327962,35.26179764,펜션/민박/유스호스텔,8.51
1872팡시온펜션,129.2435827,35.25775916,펜션/민박/유스호스텔,8.51
메르쏭하우스,129.2432716,35.25807928,펜션/민박/유스호스텔,8.51
하루펜션,129.2433438,35.25859718,펜션/민박/유스호스텔,8.51
고운학리펜션,129.2431815,35.25835087,펜션/민박/유스호스텔,8.51
라고마르펜션,129.2434036,35.25891439,펜션/민박/유스호스텔,8.51
일광횡계민박,129.222095,35.27170254,펜션/민박/유스호스텔,8.51
길천여인숙,129.283682,35.32687594,펜션/민박/유스호스텔,8.51
늘봄펜션,129.2413723,35.34719821,펜션/민박/유스호스텔,8.51
만석꾼캠핑장,129.2711622,35.33110731,캠핑/카라반/글램핑,7.98
월내태양민박,129.2772528,35.32614394,펜션/민박/유스호스텔,8.51
달빛펜션,129.2632604,35.31859452,펜션/민박/유스호스텔,8.51
